Customer,State,Customer_Lifetime_Value,Response,Coverage,Education,Effective_To_Date,Employment_Status,Gender,Income,Location_Code,Marital_Status,Monthly_Premium_Auto,Months_Since_Last_Claim,Months_Since_Policy_Inception,Number_of_Open_Complaints,Number of Policies,Policy_Type,Policy,Renew_Offer_Type,Sales_Channel,Total_Claim_Amount,Vehicle_Class,Vehicle_Size
NT59303,Oregon,10115.44622,false,Premium,College,2024-01-17,Employed,F,63528,Suburban,Divorced,256,15,23,0,1,Personal Auto,Personal L3,Offer2,Agent,1228.8,Luxury Car,Large
ZT60102,Arizona,17790.40826,false,Premium,College,2024-01-03,Retired,M,26000,Suburban,Divorced,256,34,84,0,8,Personal Auto,Personal L1,Offer1,Web,1228.8,Luxury SUV,Small
FM30352,Oregon,9095.744565,false,Premium,High School or Below,2024-01-14,Unemployed,F,0,Suburban,Single,256,30,32,0,1,Personal Auto,Personal L3,Offer3,Agent,1943.772393,Luxury Car,Medsize
ZD75163,Nevada,9295.41115,false,Premium,High School or Below,2024-02-14,Unemployed,M,0,Suburban,Single,261,33,44,0,1,Corporate Auto,Corporate L3,Offer4,Call Center,2759.794354,Luxury Car,Medsize
OW97322,Oregon,31410.92822,false,Premium,Bachelor,2024-02-10,Employed,M,28013,Suburban,Married,266,25,30,0,2,Personal Auto,Personal L2,Offer2,Branch,1276.8,Luxury Car,Small
UZ14076,California,32104.69957,false,Premium,High School or Below,2024-02-16,Employed,F,89546,Suburban,Married,266,4,18,1,2,Corporate Auto,Corporate L3,Offer3,Agent,2452.894264,Luxury SUV,Large
GM63998,Oregon,32613.69038,false,Premium,Doctor,2024-02-14,Employed,F,45173,Suburban,Married,268,20,57,0,2,Personal Auto,Personal L3,Offer3,Call Center,1286.4,Luxury Car,Medsize
UY18770,California,10179.71704,true,Premium,Bachelor,2024-01-05,Retired,F,14290,Suburban,Married,271,20,40,0,1,Personal Auto,Personal L3,Offer1,Agent,1300.8,Luxury SUV,Medsize
QW47320,California,10179.71704,true,Premium,Bachelor,2024-01-05,Retired,F,14290,Suburban,Married,271,20,40,0,1,Personal Auto,Personal L1,Offer1,Agent,1300.8,Luxury SUV,Medsize
DT77901,Oregon,10179.71704,true,Premium,Bachelor,2024-01-05,Retired,F,14290,Suburban,Married,271,20,40,0,1,Personal Auto,Personal L3,Offer1,Agent,1300.8,Luxury SUV,Medsize
MA15172,California,10179.71704,true,Premium,Bachelor,2024-01-05,Retired,F,14290,Suburban,Married,271,20,40,0,1,Personal Auto,Personal L2,Offer1,Agent,1300.8,Luxury SUV,Medsize
YP53257,Oregon,10179.71704,true,Premium,Bachelor,2024-01-05,Retired,F,14290,Suburban,Married,271,20,40,0,1,Personal Auto,Personal L3,Offer1,Agent,1300.8,Luxury SUV,Medsize
ZR79373,Arizona,10179.71704,true,Premium,Bachelor,2024-01-05,Retired,F,14290,Suburban,Married,271,20,40,0,1,Personal Auto,Personal L3,Offer1,Agent,1300.8,Luxury SUV,Medsize
YF80144,Washington,20725.37773,false,Premium,Bachelor,2024-02-02,Disabled,M,15529,Suburban,Married,273,1,64,0,9,Personal Auto,Personal L3,Offer3,Branch,1965.6,Luxury SUV,Small
FQ20031,Oregon,10926.69497,false,Premium,High School or Below,2024-01-09,Employed,M,29418,Suburban,Married,274,23,31,0,1,Personal Auto,Personal L2,Offer4,Agent,1972.8,Luxury SUV,Medsize
IT92328,Nevada,9350.872287,false,Premium,High School or Below,2024-02-22,Unemployed,M,0,Suburban,Single,275,3,64,1,1,Corporate Auto,Corporate L3,Offer1,Agent,1980,Luxury SUV,Medsize
JC11405,Oregon,10963.95723,true,Premium,High School or Below,2024-02-08,Employed,M,55687,Suburban,Divorced,276,33,91,0,1,Personal Auto,Personal L3,Offer1,Agent,1324.8,Luxury SUV,Medsize
XT93203,California,10963.95723,true,Premium,High School or Below,2024-02-08,Employed,M,55687,Suburban,Divorced,276,33,91,0,1,Personal Auto,Personal L3,Offer1,Agent,1324.8,Luxury SUV,Medsize
XZ64172,Oregon,10963.95723,true,Premium,High School or Below,2024-02-08,Employed,M,55687,Suburban,Divorced,276,33,91,0,1,Corporate Auto,Corporate L2,Offer1,Agent,1324.8,Luxury SUV,Medsize
WP58340,Arizona,10963.95723,true,Premium,High School or Below,2024-02-08,Employed,M,55687,Suburban,Divorced,276,33,91,0,1,Personal Auto,Personal L2,Offer1,Agent,1324.8,Luxury SUV,Medsize
TQ84956,California,10963.95723,true,Premium,High School or Below,2024-02-08,Employed,M,55687,Suburban,Divorced,276,33,91,0,1,Corporate Auto,Corporate L3,Offer1,Agent,1324.8,Luxury SUV,Medsize
NZ60700,Washington,10963.95723,true,Premium,High School or Below,2024-02-08,Employed,M,55687,Suburban,Divorced,276,33,91,0,1,Personal Auto,Personal L2,Offer1,Agent,1324.8,Luxury SUV,Medsize
HB29169,Washington,42462.96794,false,Premium,Bachelor,2024-01-01,Unemployed,F,0,Suburban,Married,281,16,92,1,2,Personal Auto,Personal L3,Offer1,Branch,1499.806352,Luxury SUV,Medsize
TA66375,Oregon,11009.13049,true,Premium,Bachelor,2024-01-24,Employed,F,51643,Suburban,Single,283,16,43,0,1,Corporate Auto,Corporate L2,Offer2,Agent,1358.4,Luxury Car,Medsize
OK31456,California,11009.13049,true,Premium,Bachelor,2024-01-24,Employed,F,51643,Suburban,Single,283,16,43,0,1,Corporate Auto,Corporate L3,Offer2,Agent,1358.4,Luxury Car,Medsize
DU50092,Oregon,56675.93768,false,Premium,College,2024-01-24,Employed,F,77237,Suburban,Married,283,33,93,0,2,Personal Auto,Personal L1,Offer4,Web,1358.4,Luxury SUV,Medsize
AJ89108,California,11009.13049,true,Premium,Bachelor,2024-01-24,Employed,F,51643,Suburban,Single,283,16,43,0,1,Personal Auto,Personal L3,Offer2,Agent,1358.4,Luxury Car,Medsize
TY31217,Washington,11009.13049,true,Premium,Bachelor,2024-01-24,Employed,F,51643,Suburban,Single,283,16,43,0,1,Personal Auto,Personal L3,Offer2,Agent,1358.4,Luxury Car,Medsize
YJ16163,Oregon,11009.13049,true,Premium,Bachelor,2024-01-24,Employed,F,51643,Suburban,Single,283,16,43,0,1,Special Auto,Special L3,Offer2,Agent,1358.4,Luxury Car,Medsize
FH77504,California,11009.13049,true,Premium,Bachelor,2024-01-24,Employed,F,51643,Suburban,Single,283,16,43,0,1,Personal Auto,Personal L3,Offer2,Agent,1358.4,Luxury Car,Medsize
BF55854,Nevada,11250.09857,false,Premium,College,2024-01-16,Employed,F,29505,Suburban,Married,284,2,70,0,1,Personal Auto,Personal L3,Offer2,Call Center,1979.444237,Luxury Car,Small
QW44027,Oregon,22837.1392,false,Premium,College,2024-02-15,Employed,M,89384,Suburban,Married,285,27,70,0,4,Corporate Auto,Corporate L2,Offer2,Web,2052,Luxury Car,Large
CH85057,Oregon,11463.99097,false,Premium,Doctor,2024-01-15,Employed,F,45354,Rural,Married,285,5,51,0,1,Personal Auto,Personal L3,Offer4,Agent,540.141566,Luxury SUV,Medsize
QK82654,California,19849.73509,false,Premium,College,2024-01-15,Unemployed,M,0,Suburban,Single,286,3,3,0,9,Personal Auto,Personal L2,Offer1,Agent,2059.2,Luxury SUV,Small
FI13966,Oregon,22207.82615,false,Premium,High School or Below,2024-01-03,Employed,F,40450,Suburban,Married,287,8,20,3,7,Personal Auto,Personal L3,Offer3,Branch,1377.6,Luxury SUV,Small
RR47424,California,21766.83059,false,Premium,High School or Below,2024-01-24,Unemployed,F,0,Suburban,Married,290,11,18,0,5,Personal Auto,Personal L3,Offer1,Call Center,1550.596808,Luxury Car,Medsize
YX89016,Oregon,34931.00171,false,Premium,College,2024-02-17,Employed,M,35005,Suburban,Married,295,14,46,0,2,Personal Auto,Personal L3,Offer2,Web,1416,Luxury Car,Small
PU71194,Oregon,35203.57475,false,Premium,Bachelor,2024-02-26,Employed,F,56343,Suburban,Divorced,295,11,69,0,2,Personal Auto,Personal L3,Offer1,Branch,1612.962321,Luxury Car,Medsize
EZ30537,Oregon,23984.62144,false,Premium,Doctor,2024-01-01,Employed,F,79655,Rural,Married,296,12,17,0,9,Personal Auto,Personal L3,Offer2,Branch,498.159874,Luxury Car,Medsize
TX35222,Washington,11618.55713,false,Premium,College,2024-01-07,Employed,F,27750,Suburban,Married,297,28,25,1,1,Personal Auto,Personal L2,Offer1,Branch,1425.6,Luxury Car,Medsize
UU93074,California,11701.06985,false,Premium,College,2024-01-05,Employed,M,32435,Suburban,Married,297,24,68,0,1,Personal Auto,Personal L1,Offer1,Agent,1767.348807,Luxury Car,Medsize
IU83998,Washington,11196.46002,false,Premium,Bachelor,2024-01-01,Unemployed,F,0,Suburban,Married,298,26,94,0,1,Personal Auto,Personal L3,Offer1,Branch,2145.6,Luxury Car,Medsize
CT88432,Arizona,4883.805481,false,Basic,Bachelor,2024-02-17,Employed,F,58682,Urban,Married,61,24,34,0,4,Corporate Auto,Corporate L3,Offer1,Branch,206.810286,Four-Door Car,Medsize
AZ68072,Oregon,4549.337013,false,Basic,Bachelor,2024-01-24,Medical Leave,F,23650,Rural,Married,61,5,10,2,3,Personal Auto,Personal L2,Offer1,Agent,14.095914,Four-Door Car,Medsize
QT89604,Arizona,4961.405917,false,Basic,High School or Below,2024-01-22,Employed,F,55702,Rural,Married,61,13,55,0,6,Personal Auto,Personal L3,Offer1,Agent,151.13336,Four-Door Car,Medsize
LZ34164,Nevada,4892.617128,false,Basic,Bachelor,2024-01-15,Employed,F,43199,Suburban,Married,61,23,31,0,3,Personal Auto,Personal L3,Offer4,Call Center,334.007478,Four-Door Car,Medsize
PW88443,Oregon,2452.726922,false,Basic,College,2024-01-28,Employed,F,32764,Suburban,Married,61,30,23,0,1,Personal Auto,Personal L2,Offer4,Web,292.953446,Two-Door Car,Small
DY35560,Oregon,2132.771675,false,Basic,High School or Below,2024-01-17,Unemployed,M,0,Suburban,Single,61,0,62,0,1,Personal Auto,Personal L3,Offer1,Agent,691.677138,Four-Door Car,Small
BC43958,California,7285.030983,true,Basic,High School or Below,2024-02-28,Employed,M,44788,Suburban,Married,61,6,48,0,2,Corporate Auto,Corporate L1,Offer2,Agent,386.031248,Four-Door Car,Small
NM95102,Oregon,7285.030983,true,Basic,High School or Below,2024-02-28,Employed,M,44788,Suburban,Married,61,6,48,0,2,Personal Auto,Personal L3,Offer2,Agent,386.031248,Four-Door Car,Small
ZV32968,Oregon,7285.030983,true,Basic,High School or Below,2024-02-28,Employed,M,44788,Suburban,Married,61,6,48,0,2,Personal Auto,Personal L3,Offer2,Agent,386.031248,Four-Door Car,Small
XN18885,Oregon,7285.030983,true,Basic,High School or Below,2024-02-28,Employed,M,44788,Suburban,Married,61,6,48,0,2,Personal Auto,Personal L2,Offer2,Agent,386.031248,Four-Door Car,Small
VV35420,Arizona,7285.030983,true,Basic,High School or Below,2024-02-28,Employed,M,44788,Suburban,Married,61,6,48,0,2,Personal Auto,Personal L1,Offer2,Agent,386.031248,Four-Door Car,Small
XC77244,Oregon,7285.030983,true,Basic,High School or Below,2024-02-28,Employed,M,44788,Suburban,Married,61,6,48,0,2,Personal Auto,Personal L3,Offer2,Agent,386.031248,Four-Door Car,Small
NW21079,Washington,4879.384813,false,Basic,Master,2024-01-14,Employed,F,67163,Rural,Married,61,17,41,2,5,Personal Auto,Personal L1,Offer1,Call Center,33.192803,Two-Door Car,Small
FG18525,Nevada,2124.173841,false,Basic,Bachelor,2024-01-23,Unemployed,M,0,Rural,Married,61,17,14,1,1,Personal Auto,Personal L3,Offer4,Web,60.5975,Two-Door Car,Medsize
PA95799,Arizona,2320.750557,false,Basic,College,2024-02-05,Medical Leave,M,19581,Suburban,Married,61,32,27,0,1,Personal Auto,Personal L1,Offer2,Call Center,377.24342,Four-Door Car,Medsize
AQ11656,Arizona,2141.750757,false,Basic,Bachelor,2024-02-08,Unemployed,M,0,Suburban,Married,61,5,90,0,1,Personal Auto,Personal L2,Offer4,Call Center,437.040616,Four-Door Car,Medsize
SU31072,Washington,4821.156466,false,Basic,Bachelor,2024-02-02,Employed,M,85756,Rural,Divorced,61,18,74,0,3,Personal Auto,Personal L3,Offer4,Branch,117.036869,Four-Door Car,Medsize
SB60942,Arizona,7258.634662,false,Basic,College,2024-01-18,Employed,M,88082,Urban,Married,61,10,45,1,2,Personal Auto,Personal L1,Offer4,Branch,218.779614,Two-Door Car,Medsize
